Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,152.4,-109.23,-90,top
C1,47uF,C_1206_3216Metric,91.865,-134.14,180,top
C2,47uF,C_1206_3216Metric,70.375,-108.8,0,top
C3,10uF,C_0805_2012Metric,85.525,-130.695,180,top
C4,10n,C_0603_1608Metric,79.35,-82.435,-90,top
C5,10n,C_0603_1608Metric,98.59,-82.525,-90,top
C6,10n,C_0603_1608Metric,118.58,-82.425,-90,top
C7,10n,C_0603_1608Metric,138,-82.305,-90,top
C8,100nF,C_0603_1608Metric,139.885,-86.84,180,top
C9,100nF,C_0603_1608Metric,126.19,-89.15,0,top
C10,100nF,C_0603_1608Metric,82.65,-84.395,-90,top
C11,100nF,C_0603_1608Metric,102.9,-85.245,-90,top
C12,100nF,C_0603_1608Metric,85.525,-132.6,180,top
C13,100nF,C_0603_1608Metric,85.525,-128.79,180,top
C14,100nF,C_0603_1608Metric,88.9,-130.175,180,top
D1,LED,LED_0805_2012Metric,125.73,-143.51,-90,top
D2,LED,LED_0805_2012Metric,129.54,-143.51,-90,top
D3,LED,LED_0805_2012Metric,133.35,-143.51,-90,top
D4,LED,LED_0805_2012Metric,137.16,-143.51,-90,top
D5,LED,LED_0805_2012Metric,140.97,-143.51,-90,top
D6,LED,LED_0805_2012Metric,144.78,-143.51,-90,top
D7,B5819W,D_SOD-123,93.9075,-136.57,180,top
D8,B5819W,D_SOD-123,143.51,-113.03,-90,top
F3,500mA,Fuse_0805_2012Metric,90.25,-137.1725,90,top
F4,500mA,Fuse_0805_2012Metric,80.555,-100.6975,90,top
J1,Mini-DIN-4-G,5749181-1,60,-123,90,top
J2,Mini-DIN-4-G,5749181-1,80,-148,180,top
J3,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,65.1,-97.88,-90,top
J9,SW1,PinHeader_1x02_P2.54mm_Vertical,157.3,-131.235,0,top
J11,TWI,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,93.345,-114.935,-90,top
J12,TWI,PinHeader_1x04_P2.54mm_Vertical,88.265,-110.49,0,top
J13,Mini-DIN-4-G,5749181-1,139.98,-59.99,0,top
J14,Mini-DIN-4-G,5749181-1,120,-59.99,0,top
J15,Mini-DIN-4-G,5749181-1,100.03,-59.99,0,top
J16,Mini-DIN-4-G,5749181-1,80.02,-59.99,0,top
L1,DNP,L_0603_1608Metric,67.285,-135.282,180,top
Q1,MMBT3904,SOT-23,125.73,-134.874,90,top
Q2,MMBT3904,SOT-23,129.54,-134.874,90,top
Q3,MMBT3904,SOT-23,133.35,-134.874,90,top
Q4,MMBT3904,SOT-23,137.16,-134.874,90,top
Q5,MMBT3904,SOT-23,140.97,-134.874,90,top
Q6,MMBT3904,SOT-23,144.78,-134.874,90,top
Q7,AO3400A,SOT-23,75.4625,-100.32,0,top
Q8,MMBT3904,SOT-23,156.21,-124.46,270,top
Q9,2N7002,SOT-23,75.04,-125.4025,90,top
Q10,AO3401A,SOT-23,91.3275,-144.97,0,top
Q11,2N7002,SOT-23,76.01,-129.7125,270,top
Q12,AO3401A,SOT-23,95.4625,-144.94,180,top
Q13,AO3401A,SOT-23,79.475,-96.76,180,top
Q14,AO3401A,SOT-23,75.4575,-96.77,0,top
Q15,2N7002,SOT-23,82.9525,-126.18,180,top
Q17,2N7002,SOT-23,144.98,-80.3475,270,top
Q18,2N7002,SOT-23,135.54,-80.7725,270,top
Q19,2N7002,SOT-23,144.95,-76.0425,270,top
Q20,2N7002,SOT-23,135.5,-76.3475,270,top
Q21,2N7002,SOT-23,135.52,-85.0675,270,top
Q22,2N7002,SOT-23,144.96,-84.7075,270,top
Q23,2N7002,SOT-23,116,-85.0675,270,top
Q24,2N7002,SOT-23,115.97,-80.7725,270,top
Q25,2N7002,SOT-23,115.98,-76.3475,270,top
Q26,2N7002,SOT-23,126.4,-76.0425,270,top
Q27,2N7002,SOT-23,126.48,-80.2625,270,top
Q28,2N7002,SOT-23,126.46,-84.5175,270,top
Q29,2N7002,SOT-23,96.07,-85.4875,270,top
Q30,2N7002,SOT-23,96.07,-80.9525,270,top
Q31,2N7002,SOT-23,96.07,-76.3475,270,top
Q32,2N7002,SOT-23,106.43,-76.1025,270,top
Q33,2N7002,SOT-23,106.43,-80.2975,270,top
Q34,2N7002,SOT-23,106.38,-84.4725,270,top
Q35,2N7002,SOT-23,76.69,-85.4925,270,top
Q36,2N7002,SOT-23,76.69,-80.9525,270,top
Q37,2N7002,SOT-23,76.66,-76.3475,270,top
Q38,2N7002,SOT-23,86.24,-76.1025,270,top
Q39,2N7002,SOT-23,86.24,-80.2575,270,top
Q40,2N7002,SOT-23,86.24,-84.3875,270,top
R1,470,R_0603_1608Metric,85.515,-134.19,180,top
R2,33,R_0603_1608Metric,148.45,-69.135,-90,top
R3,10k,R_0603_1608Metric,141.32,-79.98,-90,top
R4,10k,R_0603_1608Metric,141.32,-76.895,-90,top
R5,4.7k,R_0603_1608Metric,138.01,-76.905,-90,top
R6,1k,R_0603_1608Metric,139.46,-83.285,-90,top
R7,4.7k,R_0603_1608Metric,139.58,-76.905,90,top
R8,1k,R_0603_1608Metric,121.25,-83.825,-90,top
R9,4.7k,R_0603_1608Metric,120.11,-76.885,90,top
R10,4.7k,R_0603_1608Metric,118.52,-76.905,-90,top
R11,1K,R_0603_1608Metric,153.035,-124.46,-90,top
R12,1K,R_0603_1608Metric,125.73,-139.065,90,top
R13,1K,R_0603_1608Metric,129.54,-139.065,90,top
R14,1K,R_0603_1608Metric,133.35,-139.065,90,top
R15,1K,R_0603_1608Metric,137.16,-139.065,90,top
R16,1K,R_0603_1608Metric,140.97,-139.065,90,top
R17,1K,R_0603_1608Metric,144.78,-139.065,90,top
R18,33,R_0603_1608Metric,128.8,-69.91,-90,top
R19,10k,R_0603_1608Metric,122.59,-77.215,-90,top
R20,10k,R_0603_1608Metric,71.35,-81.765,-90,top
R21,10k,R_0603_1608Metric,90.84,-81.745,-90,top
R22,10k,R_0603_1608Metric,110.85,-81.745,-90,top
R23,10k,R_0603_1608Metric,149.18,-81.745,-90,top
R24,100,R_0402_1005Metric,92.54,-140,0,top
R25,10k,R_0402_1005Metric,92.55,-141.04,180,top
R26,10k,R_0603_1608Metric,86.27,-126.475,90,top
R27,1k,R_0603_1608Metric,88.915,-128.63,0,top
R28,10k,R_0402_1005Metric,79.06,-100.65,-90,top
R29,2K2,R_0603_1608Metric,126.619,-129.794,90,top
R30,2K2,R_0603_1608Metric,130.429,-129.794,90,top
R31,2K2,R_0603_1608Metric,134.239,-129.794,90,top
R32,2K2,R_0603_1608Metric,138.049,-129.794,90,top
R33,2K2,R_0603_1608Metric,141.859,-129.794,90,top
R34,2K2,R_0603_1608Metric,145.669,-129.794,90,top
R35,10k,R_0603_1608Metric,122.59,-80.275,-90,top
R36,1k,R_0603_1608Metric,101.37,-84.185,-90,top
R37,4.7k,R_0603_1608Metric,100.55,-77.495,90,top
R38,4.7k,R_0603_1608Metric,98.89,-77.475,-90,top
R39,33,R_0603_1608Metric,108.81,-69.895,-90,top
R40,10k,R_0603_1608Metric,102.6,-77.455,-90,top
R41,10k,R_0603_1608Metric,102.6,-80.53,-90,top
R42,1k,R_0603_1608Metric,81.1,-84.4,-90,top
R43,4.7k,R_0603_1608Metric,80.64,-77.46,90,top
R44,4.7k,R_0603_1608Metric,79.13,-77.46,-90,top
R45,33,R_0603_1608Metric,88.78,-69.895,-90,top
R46,10k,R_0603_1608Metric,82.3,-77.455,-90,top
R47,10k,R_0603_1608Metric,82.3,-80.53,-90,top
R48,100,R_0402_1005Metric,72.865,-99.63,-90,top
R49,10k,R_0402_1005Metric,72.865,-101.62,-90,top
R50,4.7k,R_0603_1608Metric,146.73,-142.075,-90,top
R51,1M,R_0402_1005Metric,79.06,-103.04,90,top
R52,1M,R_0402_1005Metric,72.06,-94.06,90,top
R59,10k,R_0402_1005Metric,63.47,-84.79,0,top
R60,10k,R_0402_1005Metric,63.48,-85.8,0,top
R61,10k,R_0402_1005Metric,63.48,-86.88,0,top
R62,10k,R_0402_1005Metric,63.48,-87.89,0,top
R64,10K,R_0603_1608Metric,151.13,-124.46,-90,top
R70,10K,R_0603_1608Metric,124.714,-129.794,-90,top
R71,10K,R_0603_1608Metric,128.524,-129.794,-90,top
R72,10K,R_0603_1608Metric,132.334,-129.794,-90,top
R73,10K,R_0603_1608Metric,136.144,-129.794,-90,top
R74,10K,R_0603_1608Metric,139.954,-129.794,-90,top
R75,10K,R_0603_1608Metric,143.764,-129.794,-90,top
R90,33,R_0603_1608Metric,67.285,-133.25,180,top
SW2,1825910-6,SW_1825910-6-4,150.985,-132.5,180,top
U1,Pico,RPi_Pico_SMD_TH,110,-121,180,top
